Graphic Designer,Three Cuts -,Full Time
UI UX Designer,Noases -,Full Time
Motion Graphics Artist,Knowledgecity LLC -,Full Time
Graphic Designer,Next Gen Supplements  -,Full Time
2D Designer,Selah ElTelmeez For Publishing & printing -,Full Time
Motion Graphic Designer,RMG -,Full Time
Desktop Publishing Specialist (DTP),All Localized -,Full Time
UI UX Designer,Reviv Solutions -,Freelance / ProjectWork From Home
3 D Visualizer,Confidential -,Full Time
Graphic Designer,Tamweely -,Full Time
Graphic Designer,Charisma Design -,Full Time
Fashion Designer,Tie House -,Full Time
Graphic Senior Designer - Printing & Packagin,Royal Herbs  -,Full Time
Art Director,Confidential -,Full Time
Senior Graphic Designer,International Group For Modern Coating  -,Full Time
